season,location,matchday_nr,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,draw,win_home,win_away,outcome
2007,Hannover,22,55,Hannover 96,79,1. FC Nürnberg,2,1,0.0,1.0,0.0,win_home
2007,Bremen,22,134,Werder Bremen,7,Borussia Dortmund,2,0,0.0,1.0,0.0,win_home
2007,Rostock,22,102,FC Hansa Rostock,83,Arminia Bielefeld,1,1,1.0,0.0,0.0,draw
2007,Karlsruhe,22,105,Karlsruher SC,131,VfL Wolfsburg,3,1,0.0,1.0,0.0,win_home
2007,Bochum,22,129,VfL Bochum,6,Bayer Leverkusen,2,0,0.0,1.0,0.0,win_home
2007,Hamburg,22,100,Hamburger SV,91,Eintracht Frankfurt,4,1,0.0,1.0,0.0,win_home
2007,Dortmund,23,7,Borussia Dortmund,54,Hertha BSC,1,1,1.0,0.0,0.0,draw
2007,Bielefeld,23,83,Arminia Bielefeld,9,FC Schalke 04,0,2,0.0,0.0,1.0,win_away
2007,Stuttgart,23,16,VfB Stuttgart,134,Werder Bremen,6,3,0.0,1.0,0.0,win_home
2007,Frankfurt,23,91,Eintracht Frankfurt,129,VfL Bochum,1,1,1.0,0.0,0.0,draw
2007,Wolfsburg,23,131,VfL Wolfsburg,93,FC Energie Cottbus,3,0,0.0,1.0,0.0,win_home
2007,München,23,40,FC Bayern München,105,Karlsruher SC,2,0,0.0,1.0,0.0,win_home
2007,Duisburg,23,107,MSV Duisburg,102,FC Hansa Rostock,1,1,1.0,0.0,0.0,draw
2007,Nürnberg,23,79,1. FC Nürnberg,100,Hamburger SV,0,0,1.0,0.0,0.0,draw
2007,Leverkusen,23,6,Bayer Leverkusen,55,Hannover 96,2,0,0.0,1.0,0.0,win_home
2007,Cottbus,22,93,FC Energie Cottbus,16,VfB Stuttgart,0,1,0.0,0.0,1.0,win_away
2007,Gelsenkirchen,24,9,FC Schalke 04,107,MSV Duisburg,2,1,0.0,1.0,0.0,win_home
2007,Bochum,24,129,VfL Bochum,16,VfB Stuttgart,1,1,1.0,0.0,0.0,draw
2007,Cottbus,24,93,FC Energie Cottbus,40,FC Bayern München,2,0,0.0,1.0,0.0,win_home
2007,Hamburg,24,100,Hamburger SV,7,Borussia Dortmund,1,0,0.0,1.0,0.0,win_home
2007,Rostock,24,102,FC Hansa Rostock,54,Hertha BSC,0,0,1.0,0.0,0.0,draw
2007,Hannover,24,55,Hannover 96,83,Arminia Bielefeld,2,2,1.0,0.0,0.0,draw
2007,Karlsruhe,24,105,Karlsruher SC,91,Eintracht Frankfurt,0,1,0.0,0.0,1.0,win_away
2007,Leverkusen,24,6,Bayer Leverkusen,79,1. FC Nürnberg,4,1,0.0,1.0,0.0,win_home
2007,Bremen,24,134,Werder Bremen,131,VfL Wolfsburg,0,1,0.0,0.0,1.0,win_away
2007,Frankfurt,25,91,Eintracht Frankfurt,93,FC Energie Cottbus,2,1,0.0,1.0,0.0,win_home
2007,München,25,40,FC Bayern München,6,Bayer Leverkusen,2,1,0.0,1.0,0.0,win_home
2007,Wolfsburg,25,131,VfL Wolfsburg,100,Hamburger SV,1,1,1.0,0.0,0.0,draw
2007,Nürnberg,25,79,1. FC Nürnberg,129,VfL Bochum,1,1,1.0,0.0,0.0,draw
2007,Duisburg,25,107,MSV Duisburg,55,Hannover 96,1,1,1.0,0.0,0.0,draw
2007,Dortmund,25,7,Borussia Dortmund,105,Karlsruher SC,1,1,1.0,0.0,0.0,draw
2007,Stuttgart,25,16,VfB Stuttgart,102,FC Hansa Rostock,4,1,0.0,1.0,0.0,win_home
2007,Berlin,25,54,Hertha BSC,9,FC Schalke 04,1,2,0.0,0.0,1.0,win_away
2007,Bielefeld,25,83,Arminia Bielefeld,134,Werder Bremen,1,1,1.0,0.0,0.0,draw
2007,Rostock,26,102,FC Hansa Rostock,131,VfL Wolfsburg,0,1,0.0,0.0,1.0,win_away
2007,Karlsruhe,26,105,Karlsruher SC,9,FC Schalke 04,0,0,1.0,0.0,0.0,draw
2007,Nürnberg,26,79,1. FC Nürnberg,40,FC Bayern München,1,1,1.0,0.0,0.0,draw
2007,Bochum,26,129,VfL Bochum,7,Borussia Dortmund,3,3,1.0,0.0,0.0,draw
2007,Hamburg,26,100,Hamburger SV,83,Arminia Bielefeld,1,1,1.0,0.0,0.0,draw
2007,Leverkusen,26,6,Bayer Leverkusen,91,Eintracht Frankfurt,0,2,0.0,0.0,1.0,win_away
2007,Bremen,26,134,Werder Bremen,107,MSV Duisburg,1,2,0.0,0.0,1.0,win_away
2007,Hannover,26,55,Hannover 96,16,VfB Stuttgart,0,0,1.0,0.0,0.0,draw
2007,Cottbus,26,93,FC Energie Cottbus,54,Hertha BSC,2,1,0.0,1.0,0.0,win_home
2007,Duisburg,27,107,MSV Duisburg,93,FC Energie Cottbus,0,1,0.0,0.0,1.0,win_away
2007,Berlin,27,54,Hertha BSC,134,Werder Bremen,1,2,0.0,0.0,1.0,win_away
2007,Frankfurt,27,91,Eintracht Frankfurt,79,1. FC Nürnberg,1,3,0.0,0.0,1.0,win_away
2007,Stuttgart,27,16,VfB Stuttgart,100,Hamburger SV,1,0,0.0,1.0,0.0,win_home
2007,Wolfsburg,27,131,VfL Wolfsburg,55,Hannover 96,3,2,0.0,1.0,0.0,win_home
2007,Bielefeld,27,83,Arminia Bielefeld,105,Karlsruher SC,1,0,0.0,1.0,0.0,win_home
2007,Gelsenkirchen,27,9,FC Schalke 04,102,FC Hansa Rostock,1,0,0.0,1.0,0.0,win_home
2007,Dortmund,27,7,Borussia Dortmund,6,Bayer Leverkusen,2,1,0.0,1.0,0.0,win_home
2007,München,27,40,FC Bayern München,129,VfL Bochum,3,1,0.0,1.0,0.0,win_home
2007,Bremen,28,134,Werder Bremen,9,FC Schalke 04,5,1,0.0,1.0,0.0,win_home
2007,Bochum,28,129,VfL Bochum,54,Hertha BSC,1,1,1.0,0.0,0.0,draw
